Tarih,USD_TRY_Kapanis
2013-03-11,1.8040900230407717
2013-03-12,1.798359990119934
2013-03-13,1.802109956741333
2013-03-14,1.8114900588989256
2013-03-15,1.8092700242996216
2013-03-18,1.8157700300216677
2013-03-19,1.8122700452804563
2013-03-20,1.8251700401306152
2013-03-21,1.8162699937820437
2013-03-22,1.817170023918152
2013-03-25,1.81112003326416
2013-03-26,1.8206199407577517
2013-03-27,1.8127199411392207
2013-03-28,1.811750054359436
2013-03-29,1.8087199926376345
2013-04-01,1.8090699911117556
2013-04-02,1.803920030593872
2013-04-03,1.8026200532913208
2013-04-04,1.8067200183868408
2013-04-05,1.8014700412750244
2013-04-08,1.8016899824142456
2013-04-09,1.784980058670044
2013-04-10,1.782969951629639
2013-04-11,1.789520025253296
2013-04-12,1.784060001373291
2013-04-15,1.7892999649047852
2013-04-16,1.793470025062561
2013-04-17,1.7869700193405151
2013-04-18,1.7983700037002563
2013-04-19,1.7952699661254885
2013-04-22,1.8010300397872925
2013-04-23,1.803920030593872
2013-04-24,1.802209973335266
2013-04-25,1.8021199703216555
2013-04-26,1.7982699871063232
2013-04-29,1.7953699827194214
2013-04-30,1.7936099767684937
2013-05-01,1.7911100387573242
2013-05-02,1.7919000387191772
2013-05-03,1.7930500507354736
2013-05-06,1.7932100296020508
2013-05-07,1.796169996261597
2013-05-08,1.7961000204086304
2013-05-09,1.7892199754714966
2013-05-10,1.7953799962997437
2013-05-13,1.8026200532913208
2013-05-14,1.8103200197219849
2013-05-15,1.8147499561309812
2013-05-16,1.822090029716492
2013-05-17,1.8228199481964111
2013-05-20,1.8420699834823608
2013-05-21,1.8404099941253664
2013-05-22,1.8420699834823608
2013-05-23,1.8477799892425537
2013-05-24,1.845720052719116
2013-05-27,1.8449900150299072
2013-05-28,1.842869997024536
2013-05-29,1.8597899675369265
2013-05-30,1.8607699871063232
2013-05-31,1.8714100122451784
2013-06-03,1.885769963264465
2013-06-04,1.8836100101470947
2013-06-05,1.8713300228118896
2013-06-06,1.89179003238678
2013-06-07,1.8922100067138672
2013-06-10,1.878029942512512
2013-06-11,1.8991700410842896
2013-06-12,1.890169978141785
2013-06-13,1.873600006103516
2013-06-14,1.859969973564148
2013-06-17,1.8770899772644043
2013-06-18,1.8693000078201292
2013-06-19,1.8852699995040891
2013-06-20,1.9023699760437007
2013-06-21,1.9386999607086184
2013-06-24,1.9364999532699585
2013-06-25,1.944169998168945
2013-06-26,1.930709958076477
2013-06-27,1.933769941329956
2013-06-28,1.9176700115203855
2013-07-01,1.9285500049591064
2013-07-02,1.9232699871063232
2013-07-03,1.932559967041016
2013-07-04,1.9436700344085691
2013-07-05,1.940999984741211
2013-07-08,1.9616700410842896
2013-07-09,1.946300029754639
2013-07-10,1.9399199485778809
2013-07-11,1.919469952583313
2013-07-12,1.949030041694641
2013-07-15,1.9519200325012207
2013-07-16,1.9319000244140625
2013-07-17,1.9197200536727903
2013-07-18,1.9101999998092647
2013-07-19,1.920300006866455
2013-07-22,1.9151999950408936
2013-07-23,1.910979986190796
2013-07-24,1.899809956550598
2013-07-25,1.9219199419021609
2013-07-26,1.9213600158691408
2013-07-29,1.9245200157165527
2013-07-30,1.926699995994568
2013-07-31,1.9224499464035036
2013-08-01,1.93326997756958
2013-08-02,1.9451700448989868
2013-08-05,1.9261800050735476
2013-08-06,1.9284700155258176
2013-08-07,1.9255499839782717
2013-08-08,1.9298700094223025
2013-08-09,1.921470046043396
2013-08-12,1.9201799631118772
2013-08-13,1.92425000667572
2013-08-14,1.9315500259399412
2013-08-15,1.932770013809204
2013-08-16,1.9319700002670288
2013-08-19,1.9427200555801392
2013-08-20,1.9530999660491943
2013-08-21,1.9479999542236328
2013-08-22,1.9800000190734863
2013-08-23,1.9882999658584597
2013-08-26,1.9896199703216555
2013-08-27,1.9957200288772583
2013-08-28,2.0470399856567383
2013-08-29,2.0284500122070312
2013-08-30,2.028980016708374
2013-09-02,2.029989957809448
2013-09-03,2.0184500217437744
2013-09-04,2.0563199520111084
2013-09-05,2.047379970550537
2013-09-06,2.0680201053619385
2013-09-09,2.0515999794006348
2013-09-10,2.024139881134033
2013-09-11,2.0150399208068848
2013-09-12,2.0111899375915527
2013-09-13,2.02620005607605
2013-09-16,2.0019900798797607
2013-09-17,2.000250101089477
2013-09-18,2.001140117645264
2013-09-19,1.938140034675598
2013-09-20,1.9601600170135496
2013-09-23,1.980810046195984
2013-09-24,1.9842599630355835
2013-09-25,1.9950900077819824
2013-09-26,2.013689994812012
2013-09-27,2.0195000171661377
2013-09-30,2.0381200313568115
2013-10-01,2.01921010017395
2013-10-02,2.0085999965667725
2013-10-03,1.9926799535751345
2013-10-04,2.00219988822937
2013-10-07,1.986109972000122
2013-10-09,1.9870400428771973
2013-10-10,1.982100009918213
2013-10-11,1.974990010261536
2013-10-14,1.986940026283264
2013-10-15,1.9811999797821045
2013-10-16,1.9844199419021609
2013-10-17,1.9736900329589844
2013-10-18,1.9660700559616089
2013-10-21,1.9690899848937988
2013-10-22,1.9789899587631223
2013-10-23,1.9668200016021729
2013-10-24,1.9737800359725952
2013-10-25,1.9795700311660769
2013-10-28,1.9815399646759035
2013-10-29,1.9823100566864011
2013-10-30,1.9901000261306765
2013-10-31,1.9928900003433228
2013-11-01,1.9959900379180908
2013-11-04,2.0152900218963623
2013-11-05,2.014689922332764
2013-11-06,2.028899908065796
2013-11-07,2.034260034561157
2013-11-08,2.0346899032592773
2013-11-11,2.038789987564087
2013-11-12,2.0419399738311768
2013-11-13,2.0530099868774414
2013-11-14,2.041589975357056
2013-11-15,2.03439998626709
2013-11-18,2.030159950256348
2013-11-19,2.0203299522399902
2013-11-20,2.009340047836304
2013-11-21,2.0146400928497314
2013-11-22,2.0151400566101074
2013-11-25,2.007309913635254
2013-11-26,2.006309986114502
2013-11-27,2.0109899044036865
2013-11-28,2.0243899822235107
2013-11-29,2.013000011444092
2013-12-02,2.018929958343506
2013-12-03,2.038059949874878
2013-12-04,2.042109966278076
2013-12-05,2.047339916229248
2013-12-06,2.035099983215332
2013-12-09,2.024049997329712
2013-12-10,2.0312600135803223
2013-12-11,2.0257999897003174
2013-12-12,2.042409896850586
