iter	RMSE
0	0.2077691897
1	0.2010672778
2	0.1939855723
3	0.1869574852
4	0.1806301856
5	0.1742908197
6	0.1682738463
7	0.1623083016
8	0.1575081054
9	0.1523553112
10	0.1476721399
11	0.1435705124
12	0.1398971706
13	0.1356199833
14	0.1314382386
15	0.1279926859
16	0.1242177022
17	0.1209209871
18	0.1176746132
19	0.1147530821
20	0.1116382307
21	0.1082877755
22	0.1055652198
23	0.1028490472
24	0.1004720219
25	0.09827258081
26	0.09640737991
27	0.09395245757
28	0.09210880876
29	0.08996648719
30	0.08793016042
31	0.08621275234
32	0.08456647894
33	0.0833165388
34	0.08183895802
35	0.08035269886
36	0.07880514312
37	0.07763036482
38	0.07611582099
39	0.07488082704
40	0.07373020785
41	0.07238682784
42	0.07147718771
43	0.07050906925
44	0.06941771903
45	0.06836358558
46	0.06743278198
47	0.06663062713
48	0.06569815787
49	0.06502969761
50	0.06435897282
51	0.06343911417
52	0.06266739869
53	0.06217189378
54	0.06133861261
55	0.06065844545
56	0.05997097801
57	0.05911331741
58	0.05850741515
59	0.05797734674
60	0.0573600663
61	0.05662846841
62	0.056030675
63	0.05552356598
64	0.05492653654
65	0.05439160916
66	0.05402787228
67	0.05364106417
68	0.05309216362
69	0.05266582009
70	0.0521368888
71	0.05177118666
72	0.05141026785
73	0.05100494283
74	0.05066582839
75	0.05033267558
76	0.04995088266
77	0.04963248232
78	0.04939127528
79	0.0490804462
80	0.04875557122
81	0.04851736748
82	0.04825516243
